Division,State,Party,Senate Vote
Grey,SA,ON,0.06240707559757539
Grey,SA,UAPP,0.04092485989859327
Hindmarsh,SA,ALP,0.38465302128353585
Hindmarsh,SA,GRN,0.12696730000815462
Hindmarsh,SA,L/NP,0.32015910552973265
Hindmarsh,SA,ON,0.03348827095055587
Hindmarsh,SA,UAPP,0.030081455507533956
Kingston,SA,ALP,0.3884616102596651
Kingston,SA,GRN,0.12825514756668968
Kingston,SA,L/NP,0.2874050290279826
Kingston,SA,ON,0.042403255614254516
Kingston,SA,UAPP,0.03436689129907222
Makin,SA,ALP,0.3867951422544045
Makin,SA,GRN,0.10106049375677062
Makin,SA,L/NP,0.3293802383260163
Makin,SA,ON,0.04087082121747724
Makin,SA,UAPP,0.0344565444628162
Mayo,SA,ALP,0.2705957517569732
Mayo,SA,GRN,0.15473616957963923
Mayo,SA,L/NP,0.3690650189481791
Mayo,SA,ON,0.03956799901977087
Mayo,SA,UAPP,0.03467560542276757
Spence,SA,ALP,0.4173015857879831
Spence,SA,GRN,0.08667003594961332
Spence,SA,L/NP,0.25344954180930496
Spence,SA,ON,0.07017326378624761
Spence,SA,UAPP,0.03990693150502055
Sturt,SA,ALP,0.29850131973336913
Sturt,SA,GRN,0.14989486869771396
Sturt,SA,L/NP,0.4110947076455062
Sturt,SA,ON,0.02260099315528117
Sturt,SA,UAPP,0.024247304612356285
Bass,TAS,ALP,0.2564138768479166
Bass,TAS,GRN,0.13720119170326023
Bass,TAS,L/NP,0.3585558363808367
Bass,TAS,ON,0.04501362551713427
Bass,TAS,UAPP,0.01578583228612174
Braddon,TAS,ALP,0.23445346217529384
Braddon,TAS,GRN,0.07483510219592301
Braddon,TAS,L/NP,0.3862815884476534
Braddon,TAS,ON,0.045316359490784726
Braddon,TAS,UAPP,0.016747645286501453
Clark,TAS,ALP,0.300705637673624
Clark,TAS,GRN,0.2642650226546832
Clark,TAS,L/NP,0.23433112976305429
Clark,TAS,ON,0.02213473965683726
Clark,TAS,UAPP,0.01176557973705712
Franklin,TAS,ALP,0.2965591603313907
Franklin,TAS,GRN,0.20064967857289093
Franklin,TAS,L/NP,0.28651371012870736
Franklin,TAS,ON,0.026000791625151842
Franklin,TAS,UAPP,0.016392100126933
Lyons,TAS,ALP,0.2660444175300483
Lyons,TAS,GRN,0.1076605099985519
Lyons,TAS,L/NP,0.3287476468187623
Lyons,TAS,ON,0.05385658429983808
Lyons,TAS,UAPP,0.019970774476376036
Aston,VIC,ALP,0.30440859885933497
Aston,VIC,GRN,0.1021293093773275
Aston,VIC,L/NP,0.3846632589554447
Aston,VIC,ON,0.02307857120994154
Aston,VIC,UAPP,0.041984226582188075
Ballarat,VIC,ALP,0.35475673238512934
Ballarat,VIC,GRN,0.1250973480345944
Ballarat,VIC,L/NP,0.2870844775997049
Ballarat,VIC,ON,0.03203262696233143
Ballarat,VIC,UAPP,0.03252449071607165
Bendigo,VIC,ALP,0.33946149682230997
Bendigo,VIC,GRN,0.12770905591531506
